DEB [20220215-10:36:08.428] thr=1   paramiko.transport: starting thread (client mode): 0x435e4048
ERR [20220215-10:47:34.081] thr=21  paramiko.transport:     buf = self.packetizer.readline(timeout)
ERR [20220215-10:47:34.081] thr=21  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\packet.py", line 380, in readline
ERR [20220215-10:47:34.081] thr=21  paramiko.transport:     buf += self._read_timeout(timeout)
ERR [20220215-10:47:34.081] thr=21  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\packet.py", line 622, in _read_timeout
ERR [20220215-10:47:34.081] thr=21  paramiko.transport:     raise socket.timeout()
ERR [20220215-10:47:34.081] thr=21  paramiko.transport: socket.timeout
ERR [20220215-10:47:34.081] thr=21  paramiko.transport: 
ERR [20220215-10:47:34.082] thr=21  paramiko.transport: During handling of the above exception, another exception occurred:
ERR [20220215-10:47:34.082] thr=21  paramiko.transport: 
ERR [20220215-10:47:34.082] thr=21  paramiko.transport: Traceback (most recent call last):
ERR [20220215-10:47:34.082] thr=21  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\transport.py", line 2093, in run
ERR [20220215-10:47:34.082] thr=21  paramiko.transport:     self._check_banner()
ERR [20220215-10:47:34.082] thr=21  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\transport.py", line 2275, in _check_banner
ERR [20220215-10:47:34.082] thr=21  paramiko.transport:     "Error reading SSH protocol banner" + str(e)
ERR [20220215-10:47:34.082] thr=21  paramiko.transport: paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
ERR [20220215-10:47:34.082] thr=21  paramiko.transport: 
DEB [20220215-10:48:57.895] thr=22  paramiko.transport: starting thread (client mode): 0x44678278
DEB [20220215-10:48:57.895] thr=22  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:48:57.900] thr=22  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:48:57.900] thr=22  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:48:57.901] thr=22  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:48:57.901] thr=22  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:48:57.901] thr=22  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:48:57.901] thr=22  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: client compress: zlib, none
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: server compress: zlib, none
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: client lang: <none>
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: server lang: <none>
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: kex follows: False
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:48:57.902] thr=22  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:48:57.903] thr=22  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:48:57.903] thr=22  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:48:57.903] thr=22  paramiko.transport: Compression: none
DEB [20220215-10:48:57.903] thr=22  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:48:57.943] thr=22  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:48:57.943] thr=22  paramiko.transport: Switch to new keys ...
DEB [20220215-10:48:57.944] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:48:57.944] thr=22  paramiko.transport: userauth is OK
INF [20220215-10:48:57.945] thr=22  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:49:05.101] thr=23  paramiko.transport: starting thread (client mode): 0x44692cf8
DEB [20220215-10:49:05.102] thr=23  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:49:05.105] thr=23  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:49:05.105] thr=23  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: client compress: zlib, none
DEB [20220215-10:49:05.107] thr=23  paramiko.transport: server compress: zlib, none
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: client lang: <none>
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: server lang: <none>
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: kex follows: False
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:49:05.108] thr=23  paramiko.transport: Compression: none
DEB [20220215-10:49:05.109] thr=23  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:49:05.148] thr=23  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:49:05.149] thr=23  paramiko.transport: Switch to new keys ...
DEB [20220215-10:49:05.149] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:49:05.150] thr=23  paramiko.transport: userauth is OK
INF [20220215-10:49:05.150] thr=23  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:49:39.007] thr=24  paramiko.transport: starting thread (client mode): 0x4469c668
DEB [20220215-10:49:39.007] thr=24  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:49:39.011] thr=24  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:49:39.011] thr=24  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:49:39.012] thr=24  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: client compress: zlib, none
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: server compress: zlib, none
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: client lang: <none>
DEB [20220215-10:49:39.013] thr=24  paramiko.transport: server lang: <none>
DEB [20220215-10:49:39.014] thr=24  paramiko.transport: kex follows: False
DEB [20220215-10:49:39.014] thr=24  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:49:39.014] thr=24  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:49:39.014] thr=24  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:49:39.014] thr=24  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:49:39.014] thr=24  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:49:39.014] thr=24  paramiko.transport: Compression: none
DEB [20220215-10:49:39.014] thr=24  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:49:39.055] thr=24  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:49:39.055] thr=24  paramiko.transport: Switch to new keys ...
DEB [20220215-10:49:39.056] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:49:39.056] thr=24  paramiko.transport: userauth is OK
INF [20220215-10:49:39.056] thr=24  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:49:59.914] thr=25  paramiko.transport: starting thread (client mode): 0x446b3240
DEB [20220215-10:49:59.915] thr=25  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:49:59.919] thr=25  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:49:59.919] thr=25  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:49:59.921] thr=25  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:49:59.921] thr=25  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:49:59.921] thr=25  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:49:59.921] thr=25  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:49:59.921] thr=25  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:49:59.921] thr=25  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:49:59.921] thr=25  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:49:59.921] thr=25  paramiko.transport: client compress: zlib, none
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: server compress: zlib, none
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: client lang: <none>
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: server lang: <none>
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: kex follows: False
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:49:59.922] thr=25  paramiko.transport: Compression: none
DEB [20220215-10:49:59.923] thr=25  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:49:59.963] thr=25  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:49:59.963] thr=25  paramiko.transport: Switch to new keys ...
DEB [20220215-10:49:59.964] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:49:59.964] thr=25  paramiko.transport: userauth is OK
INF [20220215-10:49:59.964] thr=25  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:50:21.165] thr=26  paramiko.transport: starting thread (client mode): 0x44692b38
DEB [20220215-10:50:21.166] thr=26  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:50:21.170] thr=26  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:50:21.171] thr=26  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:50:21.171] thr=26  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: client compress: zlib, none
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: server compress: zlib, none
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: client lang: <none>
DEB [20220215-10:50:21.172] thr=26  paramiko.transport: server lang: <none>
DEB [20220215-10:50:21.173] thr=26  paramiko.transport: kex follows: False
DEB [20220215-10:50:21.173] thr=26  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:50:21.173] thr=26  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:50:21.173] thr=26  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:50:21.173] thr=26  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:50:21.173] thr=26  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:50:21.173] thr=26  paramiko.transport: Compression: none
DEB [20220215-10:50:21.173] thr=26  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:50:21.213] thr=26  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:50:21.214] thr=26  paramiko.transport: Switch to new keys ...
DEB [20220215-10:50:21.214] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:50:21.215] thr=26  paramiko.transport: userauth is OK
INF [20220215-10:50:21.215] thr=26  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:53:21.226] thr=27  paramiko.transport: starting thread (client mode): 0x44681f60
DEB [20220215-10:53:21.226] thr=27  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:53:21.226] thr=27  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:53:21.227] thr=27  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: client compress: zlib, none
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: server compress: zlib, none
DEB [20220215-10:53:21.228] thr=27  paramiko.transport: client lang: <none>
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: server lang: <none>
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: kex follows: False
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: Compression: none
DEB [20220215-10:53:21.229] thr=27  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:53:21.268] thr=27  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:53:21.269] thr=27  paramiko.transport: Switch to new keys ...
DEB [20220215-10:53:56.632] thr=1   paramiko.transport: starting thread (client mode): 0xe677f2e8
DEB [20220215-10:53:56.633] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:53:56.633] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:53:56.633] thr=1   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:53:56.635] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:53:56.635] thr=1   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:53:56.635] thr=1   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:53:56.635] thr=1   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:53:56.635] thr=1   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:53:56.635] thr=1   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:53:56.635] thr=1   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: client compress: zlib, none
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: server compress: zlib, none
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: client lang: <none>
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: server lang: <none>
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: kex follows: False
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:53:56.636] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:53:56.637] thr=1   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:53:56.637] thr=1   paramiko.transport: Compression: none
DEB [20220215-10:53:56.637] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:53:56.712] thr=1   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:53:56.712] thr=1   paramiko.transport: Switch to new keys ...
DEB [20220215-10:53:56.713] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:53:56.714] thr=1   paramiko.transport: userauth is OK
INF [20220215-10:53:56.715] thr=1   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:53:56.716] thr=1   paramiko.transport: EOF in transport thread
DEB [20220215-10:54:08.651] thr=1   paramiko.transport: starting thread (client mode): 0xa078c080
DEB [20220215-10:54:08.652] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:54:08.658] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:54:08.658] thr=1   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: client compress: zlib, none
DEB [20220215-10:54:08.660] thr=1   paramiko.transport: server compress: zlib, none
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: client lang: <none>
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: server lang: <none>
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: kex follows: False
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: Compression: none
DEB [20220215-10:54:08.661] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:54:08.702] thr=1   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:54:08.703] thr=1   paramiko.transport: Switch to new keys ...
DEB [20220215-10:54:08.703] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:54:08.704] thr=1   paramiko.transport: userauth is OK
INF [20220215-10:54:08.704] thr=1   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:54:13.120] thr=3   paramiko.transport: starting thread (client mode): 0xa08a93c8
DEB [20220215-10:54:13.121] thr=3   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:54:13.126] thr=3   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:54:13.126] thr=3   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:54:13.127] thr=3   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:54:13.127] thr=3   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:54:13.127] thr=3   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:54:13.127] thr=3   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: client compress: zlib, none
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: server compress: zlib, none
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: client lang: <none>
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: server lang: <none>
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: kex follows: False
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:54:13.128] thr=3   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:54:13.129] thr=3   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:54:13.129] thr=3   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:54:13.129] thr=3   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:54:13.129] thr=3   paramiko.transport: Compression: none
DEB [20220215-10:54:13.129] thr=3   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:54:13.169] thr=3   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:54:13.170] thr=3   paramiko.transport: Switch to new keys ...
DEB [20220215-10:54:13.170] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:54:13.171] thr=3   paramiko.transport: userauth is OK
INF [20220215-10:54:13.172] thr=3   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:54:14.185] thr=4   paramiko.transport: starting thread (client mode): 0xa08a9f28
